Epoch,loss,val_loss,val_acc,val_f1
0,3.572146058312795,0.4697707342915237,0.915481832543444,0.9092451229855809
1,0.28784950557321815,0.2532137978821993,0.9415481832543444,0.9350877192982455
2,0.22264467402141583,0.2931750416755676,0.9210110584518167,0.9099099099099098
3,0.17296621197013162,0.1903293166309595,0.9399684044233807,0.9325044404973357
4,0.14286761309917534,0.3598061563912779,0.9273301737756714,0.9166666666666666
5,0.151378562837431,0.266422509169206,0.9423380726698263,0.9348795718108831
6,0.14140403143220498,0.21411935525247827,0.95260663507109,0.9471830985915494
7,0.0999354493771248,0.21950703469919972,0.9565560821484992,0.9518810148731409
8,0.11705279813824664,0.26504496912239117,0.9470774091627172,0.9403383793410507
9,0.08289310322836398,0.15836395904261735,0.9494470774091627,0.9427549194991055
10,0.1623014202125611,0.17773930683615619,0.9612954186413902,0.9565987599645706
11,0.0704863598697189,0.06438040836364962,0.976303317535545,0.9742268041237113
12,0.04370812088082663,0.07454339751857333,0.9778830963665087,0.9755671902268762
13,0.056097263847415604,0.08094364569114987,0.9747235387045814,0.9720767888307156
14,0.04592889593284658,0.049489227171579844,0.9865718799368088,0.9853068280034571
15,0.05301916153198209,0.05552938588225516,0.985781990521327,0.9846678023850085
16,0.04688342175576805,0.09599341989824098,0.9747235387045814,0.9723661485319517
17,0.06223577643200269,0.06880669152014889,0.9818325434439179,0.9803586678052946
18,0.04058851321939543,0.127855587869999,0.9660347551342812,0.9623797025371829
19,0.06599755192474077,0.11552832312304417,0.9707740916271722,0.9681857265692176
